solver,mean,median,std,q25,q75,nan_frac
ISTA,0.2209184813289875,0.2182646394421307,0.06430971583797104,0.17408444041587734,0.25736043570394374,0.0
FISTA,0.002629877176416687,0.00238640138778594,0.0010644743491162582,0.0019132056978266665,0.0031255978982231256,0.0
AMP,882802.1778156962,70996.27658640772,2136369.768444615,27223.914033356217,265393.16686532134,0.0
VAMP,0.004192690035740613,0.0038007346247583254,0.0017454933148466389,0.002981892731513486,0.00512833094939506,0.0
OAMP,0.004185161263135617,0.003801103691554988,0.0017329786190921498,0.002981892523005951,0.005117879521223345,0.0
KAMP,0.0013765027911125495,0.0012130093363643892,0.0005989646960806785,0.0010026901639485484,0.0015806854531832772,0.0
