Q,solver,nmse_mean,nmse_sem
0.0001,ISTA,0.14477080706343043,0.003457771735638265
0.01,ISTA,0.13205629152957565,0.0030624839775371822
1.0,ISTA,0.12624008391123115,0.003640741143737144
0.0001,FISTA,0.04735885493016218,0.0012933321087632641
0.01,FISTA,0.0457792551411353,0.0007050502520861108
1.0,FISTA,0.045297748095290594,0.0012212411069513628
0.0001,AMP,64338.01967359042,13346.833428189275
0.01,AMP,29013.47278727495,5986.524604473777
1.0,AMP,37939.437264305976,10300.95148567732
0.0001,VAMP,0.07865106947925762,0.001794283474086329
0.01,VAMP,0.0785349387698105,0.0016367963872618901
1.0,VAMP,0.07884241510896423,0.0017752286733175953
0.0001,OAMP,0.07857333035691078,0.001782936057096584
0.01,OAMP,0.07861608760322983,0.0016319308425286458
1.0,OAMP,0.07876800437070584,0.0017715707954768926
0.0001,KAMP,149260.1669746425,13525.19259778426
0.01,KAMP,0.03431896331452293,0.0005701086988155774
1.0,KAMP,0.07119750947230083,0.0017253580929012197
0.0001,KAMP_restarts,8.9,0.26267851073127396
0.01,KAMP_restarts,0.0,0.0
1.0,KAMP_restarts,0.0,0.0
