snr,pcrlb,mse_kamp,mse_vamp,mse_fista
10,0.006611784933741165,0.02391573263555332,0.06695991684507108,0.04355493439675576
20,0.00017344019751358103,0.0013335439102562902,0.004742495367130214,0.0026253123854569505
30,3.7027448723709675e-05,0.00022292279594288137,0.0006870645561113093,0.0005426302634414696
40,3.7841318813268186e-06,3.045788543982666e-05,4.788944777769993e-05,0.0047290618479684295
