b,strategy,nmse_mean,nmse_sem
40,P1FIM,0.11093389459335515,0.04639646790356425
40,random,0.07751907481309754,0.06750311395458593
60,P1FIM,0.0011561895490882041,0.00021797628805044872
60,random,0.0015654543339109783,0.00027552350194951446
80,P1FIM,0.001154140312328126,6.854297814096048e-05
80,random,0.0015538376740618638,0.0003291436553128156
