eta,solver,nmse_mean,nmse_sem,nmse_median,nan_frac
1.0,ISTA,0.23971092557805534,0.02627295619425784,0.2270820620542385,0.0
2.0,ISTA,0.1891125547471639,0.017663528912272696,0.18491262998694546,0.0
5.0,ISTA,0.15019171289256703,0.027178197721172827,0.1271062929332261,0.0
10.0,ISTA,0.16097634497484298,0.011359443507923154,0.17346070113188894,0.0
1.0,FISTA,0.002877703944432165,0.0002857877876194005,0.0025204596250535997,0.0
2.0,FISTA,0.006614290422387252,0.0008498127140629811,0.0067288263329507506,0.0
5.0,FISTA,0.0322976999515584,0.0028710544139334453,0.031134806751140203,0.0
10.0,FISTA,0.11559449176831789,0.010546441998929458,0.11321792474405193,0.0
1.0,AMP,425593.9704576521,270546.4136899574,113999.299386567,0.0
2.0,AMP,383157.0820750288,236904.38572793957,39105.95226147112,0.0
5.0,AMP,63569.57538686869,39982.02453601422,9738.054211794006,0.0
10.0,AMP,41068.67067255125,24894.41728860284,3076.4428791133164,0.0
1.0,VAMP,0.004231824541311555,0.0004553115074086889,0.0036681275348376154,0.0
2.0,VAMP,0.011272779813223992,0.0011073791876362938,0.011036897002472835,0.0
5.0,VAMP,0.05769173854121771,0.004853129320428701,0.05703407562161826,0.0
10.0,VAMP,0.17849770084518418,0.010459446224855073,0.1738218127520682,0.0
1.0,OAMP,0.004282996546993089,0.00045223407731213156,0.003810672428656189,0.0
2.0,OAMP,0.011293630358097667,0.0011161886779100952,0.011036889333127194,0.0
5.0,OAMP,0.05703375418211572,0.004802900096555963,0.054686912883950216,0.0
10.0,OAMP,0.17763877846527779,0.010862068303841734,0.17382190521815616,0.0
1.0,KAMP,0.0020512264188380577,0.0002182900566968972,0.0019140904089422707,0.0
2.0,KAMP,0.0037876962383154382,0.000600979003593893,0.0032149392075356224,0.0
5.0,KAMP,0.016857733816512725,0.0017437956999631244,0.016748922298449525,0.0
10.0,KAMP,0.09981473044638085,0.011037989594839911,0.09076215033219853,0.0
