ar_coeff,solver,nmse_mean,nmse_sem,nmse_median,nan_frac
0.0,ISTA,0.2364424167813593,0.019620869662019848,0.2187528480107434,0.0
0.3,ISTA,0.23260784234405452,0.011504498020549555,0.22020717736710277,0.0
0.6,ISTA,0.2952103602386438,0.015308043162976489,0.2871825005028361,0.0
0.9,ISTA,0.41004232855848083,0.02588224027618784,0.39559973685693484,0.0
0.0,FISTA,0.003165877403822083,0.00036914332242664593,0.00267392214877843,0.0
0.3,FISTA,0.0036680003124133437,0.00035560324426379535,0.0036355332137968637,0.0
0.6,FISTA,0.0045112474617695925,0.000518731224979795,0.003799046052683594,0.0
0.9,FISTA,0.061376123293381456,0.016372804859880127,0.04215193526426509,0.0
0.0,AMP,848981.6646511026,472128.2904878931,84852.34409469416,0.0
0.3,AMP,58926.11216894233,19227.234712683603,33484.340676322194,0.0
0.6,AMP,4202243.001641279,1407654.3403343398,3187596.237752283,0.0
0.9,AMP,9673752.778240865,6752909.569226194,3.443693502224689,0.0
0.0,VAMP,0.004683274029921922,0.0005227675496924413,0.004361476327404362,0.0
0.3,VAMP,0.006674466267618732,0.0008257421733640495,0.005868782988094385,0.0
0.6,VAMP,0.008543456345018303,0.0010994355209808337,0.007657339146607926,0.0
0.9,VAMP,0.030373084934359494,0.004650797805992766,0.02755707375502908,0.0
0.0,OAMP,0.004692654421257888,0.000521018813826435,0.004361474953001567,0.0
0.3,OAMP,0.006673772578360633,0.0008260573056912662,0.005868763057748923,0.0
0.6,OAMP,0.008543455784437914,0.001099435609996421,0.007657338186847572,0.0
0.9,OAMP,0.030403376568483124,0.004657717105335725,0.027557052061873893,0.0
0.0,KAMP,0.001395428673088625,0.0001921912087468782,0.0012751873855639047,0.0
0.3,KAMP,0.002096117653936712,0.0001743775116434244,0.0021187302245177873,0.0
0.6,KAMP,0.004108059316227264,0.0005878023974443157,0.003580051765441684,0.0
0.9,KAMP,0.014198149319724407,0.002480942049406271,0.013893791799986304,0.0
